POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Martin Truex Jr.	19	Toyota	500	7	20	56	16	0
2	Chase Elliott	9	Chevrolet	500	5	0	49	14	0
3	Denny Hamlin	11	Toyota	500	2	276	52	18	0
4	William Byron	24	Chevrolet	500	3	9	42	9	0
5	Kyle Larson	5	Chevrolet	500	19	0	38	6	0
6	Joey Logano	22	Ford	500	1	6	33	2	0
7	Christopher Bell	20	Toyota	500	23	9	31	1	0
8	Tyler Reddick	8	Chevrolet	500	13	0	32	3	0
9	Kevin Harvick	4	Ford	500	9	0	28	0	0
10	Kyle Busch	18	Toyota	500	12	0	29	2	0
11	Ryan Blaney	12	Ford	500	4	157	46	20	0
12	Matt DiBenedetto	21	Ford	500	22	0	25	0	0
13	Chris Buescher	17	Ford	500	15	0	24	0	0
14	Austin Dillon	3	Chevrolet	500	18	0	23	0	0
15	Ricky Stenhouse Jr.	47	Chevrolet	500	6	0	22	0	0
16	Bubba Wallace	23	Toyota	500	25	23	21	0	0
17	Ross Chastain	42	Chevrolet	500	27	0	20	0	0
18	Cole Custer	41	Ford	500	26	0	19	0	0
19	Ryan Newman	6	Ford	499	8	0	18	0	0
20	Aric Almirola	10	Ford	499	31	0	17	0	0
21	Kurt Busch	1	Chevrolet	498	21	0	17	1	0
22	James Davison	15	Chevrolet	494	37	0	15	0	0
23	Josh Bilicki	52	Ford	493	33	0	14	0	0
24	Quin Houff	00	Chevrolet	493	29	0	13	0	0
25	J.J. Yeley	53	Chevrolet	492	28	0	0	0	0
26	Anthony Alfredo	38	Ford	492	35	0	11	0	0
27	Chase Briscoe	14	Ford	491	24	0	10	0	0
28	Cody Ware	51	Chevrolet	490	32	0	0	0	0
29	B.J. McLeod	78	Ford	478	36	0	0	0	0
30	Erik Jones	43	Chevrolet	403	16	0	7	0	0
31	Michael McDowell	34	Ford	387	14	0	6	0	0
32	Daniel Suarez	99	Chevrolet	386	11	0	5	0	0
33	Brad Keselowski	2	Ford	385	10	0	12	8	0
34	Alex Bowman	48	Chevrolet	384	20	0	13	10	0
35	Justin Haley	77	Chevrolet	383	30	0	0	0	0
36	Ryan Preece	37	Chevrolet	382	17	0	1	0	0
37	Corey LaJoie	7	Chevrolet	374	34	0	1	0	0
