POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Ryan Blaney	12	Ford	188	10	8	50	10	0
2	William Byron	24	Chevrolet	188	8	12	53	18	0
3	Denny Hamlin	11	Toyota	188	12	3	34	0	0
4	Corey LaJoie	7	Chevrolet	188	36	0	34	1	0
5	Austin Cindric	2	Ford	188	7	15	37	5	0
6	Justin Haley	31	Chevrolet	188	30	1	35	4	0
7	Chase Elliott	9	Chevrolet	188	23	8	43	13	0
8	Ryan Preece	41	Ford	188	19	8	31	2	0
9	Riley Herbst	36	Ford	188	6	10	0	0	0
10	Daniel Suarez	99	Chevrolet	188	28	0	32	5	0
11	Chandler Smith	13	Chevrolet	188	34	0	0	0	0
12	Todd Gilliland	38	Ford	188	17	0	25	0	0
13	Chase Briscoe	14	Ford	188	3	0	27	3	0
14	Christopher Bell	20	Toyota	188	15	2	23	0	0
15	Kyle Larson	5	Chevrolet	188	4	1	34	12	0
16	Tyler Reddick	45	Toyota	188	13	2	22	1	0
17	Aric Almirola	10	Ford	188	1	7	20	0	0
18	Martin Truex Jr.	19	Toyota	188	16	0	19	0	0
19	Chris Buescher	17	Ford	188	24	3	18	0	0
20	AJ Allmendinger	16	Chevrolet	188	31	0	17	0	0
21	Michael McDowell	34	Ford	188	18	5	16	0	0
22	Ricky Stenhouse Jr.	47	Chevrolet	188	35	14	15	0	0
23	Bubba Wallace	23	Toyota	188	9	3	14	0	0
24	Joey Logano	22	Ford	188	2	48	24	11	0
25	Kyle Busch	8	Chevrolet	188	25	2	12	0	0
26	Erik Jones	43	Chevrolet	188	26	4	11	0	0
27	Ty Dillon	77	Chevrolet	188	33	2	12	2	0
28	Alex Bowman	48	Chevrolet	188	20	13	15	6	0
29	B.J. McLeod	78	Chevrolet	187	37	0	0	0	0
30	Brennan Poole	15	Ford	186	29	0	0	0	0
31	Harrison Burton	21	Ford	175	21	0	6	0	0
32	Brad Keselowski	6	Ford	161	5	5	15	10	0
33	Austin Dillon	3	Chevrolet	161	14	1	11	7	0
34	Ty Gibbs	54	Toyota	161	22	0	3	0	0
35	Carson Hocevar	42	Chevrolet	161	38	0	0	0	0
36	J.J. Yeley	51	Ford	83	27	0	0	0	0
37	Ross Chastain	1	Chevrolet	59	32	0	1	0	0
38	Kevin Harvick	4	Ford	188	11	11	1	0	0
